record_id,equipment_id,maintenance_date,maintenance_type,component,duration_hours,cost_usd,technician_notes,next_scheduled
84,OVEN-001,2023-01-07,Corrective,Insulation,6,688,Corrective maintenance on Insulation. Status: Completed.,2023-05-26
70,CONVEYOR-001,2023-01-09,Corrective,Belt,4,4748,Corrective maintenance on Belt. Status: Completed.,2023-04-30
13,CNC-002,2023-01-15,Corrective,Ball Screw,8,3786,Corrective maintenance on Ball Screw. Status: Completed.,2023-03-18
45,PRESS-002,2023-01-17,Preventive,Cylinder Seals,2,1353,Preventive maintenance on Cylinder Seals. Status: Completed.,2023-05-23
68,ROBOT-002,2023-01-25,Corrective,End Effector,6,3280,Corrective maintenance on End Effector. Status: Completed.,2023-04-04
53,ROBOT-001,2023-01-25,Preventive,Gripper,3,284,Preventive maintenance on Gripper. Status: Completed.,2023-06-25
35,PRESS-001,2023-01-31,Preventive,Lubrication System,1,661,Preventive maintenance on Lubrication System. Status: Completed.,2023-06-16
64,ROBOT-002,2023-02-02,Emergency,Cables,10,14100,Emergency maintenance on Cables. Status: Completed.,2023-04-28
19,CNC-002,2023-02-04,Predictive,Servo Motor,2,409,Predictive maintenance on Servo Motor. Status: Completed.,2023-07-18
11,CNC-001,2023-02-07,Preventive,Servo Motor,4,1106,Preventive maintenance on Servo Motor. Status: Completed.,2023-06-07
27,PRESS-001,2023-02-14,Preventive,Cylinder Seals,4,782,Preventive maintenance on Cylinder Seals. Status: Completed.,2023-07-21
54,ROBOT-001,2023-02-19,Emergency,Cables,12,7117,Emergency maintenance on Cables. Status: Completed.,2023-05-13
76,CONVEYOR-001,2023-02-21,Emergency,Rollers,21,8078,Emergency maintenance on Rollers. Status: Completed.,2023-07-27
18,CNC-002,2023-02-21,Preventive,Coolant System,4,1422,Preventive maintenance on Coolant System. Status: Completed.,2023-07-07
65,ROBOT-002,2023-02-27,Preventive,Joint Actuator,1,714,Preventive maintenance on Joint Actuator. Status: Completed.,2023-08-17
24,PRESS-001,2023-03-04,Preventive,Clutch/Brake,3,228,Preventive maintenance on Clutch/Brake. Status: Completed.,2023-05-29
74,CONVEYOR-001,2023-03-05,Preventive,Rollers,1,1050,Preventive maintenance on Rollers. Status: Completed.,2023-06-03
15,CNC-002,2023-03-05,Preventive,Spindle,3,825,Preventive maintenance on Spindle. Status: Completed.,2023-07-11
83,OVEN-001,2023-03-05,Preventive,Heating Element,1,1422,Preventive maintenance on Heating Element. Status: Completed.,2023-06-20
50,ROBOT-001,2023-03-17,Emergency,End Effector,8,9866,Emergency maintenance on End Effector. Status: Completed.,2023-06-03
5,CNC-001,2023-03-20,Predictive,Spindle,4,958,Predictive maintenance on Spindle. Status: Completed.,2023-08-04
59,ROBOT-002,2023-03-22,Preventive,Gripper,1,1253,Preventive maintenance on Gripper. Status: Completed.,2023-07-24
1,CNC-001,2023-04-01,Preventive,Coolant System,4,1465,Preventive maintenance on Coolant System. Status: Completed.,2023-09-26
20,CNC-002,2023-04-01,Preventive,Tool Holder,3,330,Preventive maintenance on Tool Holder. Status: Completed.,2023-06-25
6,CNC-001,2023-04-07,Preventive,Tool Holder,3,896,Preventive maintenance on Tool Holder. Status: Completed.,2023-06-12
78,CONVEYOR-001,2023-04-08,Preventive,Belt,4,640,Preventive maintenance on Belt. Status: Completed.,2023-08-01
32,PRESS-001,2023-04-08,Preventive,Lubrication System,1,1433,Preventive maintenance on Lubrication System. Status: Completed.,2023-08-09
22,CNC-002,2023-04-08,Preventive,Coolant System,1,689,Preventive maintenance on Coolant System. Status: Completed.,2023-06-17
36,PRESS-001,2023-04-10,Preventive,Cylinder Seals,3,968,Preventive maintenance on Cylinder Seals. Status: Completed.,2023-08-28
75,CONVEYOR-001,2023-04-11,Predictive,Belt,4,972,Predictive maintenance on Belt. Status: Completed.,2023-06-30
17,CNC-002,2023-04-16,Preventive,Spindle,4,1326,Preventive maintenance on Spindle. Status: Completed.,2023-09-13
88,OVEN-001,2023-04-22,Preventive,Insulation,2,590,Preventive maintenance on Insulation. Status: Completed.,2023-09-21
81,OVEN-001,2023-04-27,Preventive,Insulation,4,919,Preventive maintenance on Insulation. Status: Completed.,2023-08-07
33,PRESS-001,2023-05-03,Corrective,Lubrication System,2,1655,Corrective maintenance on Lubrication System. Status: Completed.,2023-08-18
46,PRESS-002,2023-05-11,Emergency,Die Assembly,21,4552,Emergency maintenance on Die Assembly. Status: Completed.,2023-08-02
60,ROBOT-002,2023-05-17,Predictive,Cables,1,917,Predictive maintenance on Cables. Status: Completed.,2023-09-03
82,OVEN-001,2023-05-23,Emergency,Heating Element,6,3235,Emergency maintenance on Heating Element. Status: Completed.,2023-07-26
40,PRESS-002,2023-05-25,Predictive,Die Assembly,1,867,Predictive maintenance on Die Assembly. Status: Completed.,2023-08-24
57,ROBOT-002,2023-05-26,Preventive,Controller,2,780,Preventive maintenance on Controller. Status: Completed.,2023-08-12
71,CONVEYOR-001,2023-05-30,Preventive,Bearings,1,377,Preventive maintenance on Bearings. Status: Completed.,2023-10-15
34,PRESS-001,2023-06-03,Preventive,Cylinder Seals,1,1133,Preventive maintenance on Cylinder Seals. Status: Completed.,2023-10-02
77,CONVEYOR-001,2023-06-05,Corrective,Bearings,8,4339,Corrective maintenance on Bearings. Status: Completed.,2023-10-27
89,OVEN-001,2023-06-12,Preventive,Fan Motor,3,848,Preventive maintenance on Fan Motor. Status: Completed.,2023-10-08
29,PRESS-001,2023-06-16,Corrective,Hydraulic Pump,5,1749,Corrective maintenance on Hydraulic Pump. Status: Completed.,2023-10-17
9,CNC-001,2023-06-19,Preventive,Coolant System,3,451,Preventive maintenance on Coolant System. Status: Completed.,2023-11-01
86,OVEN-001,2023-06-21,Emergency,Heating Element,18,3531,Emergency maintenance on Heating Element. Status: Completed.,2023-11-22
43,PRESS-002,2023-06-22,Corrective,Die Assembly,8,981,Corrective maintenance on Die Assembly. Status: Completed.,2023-09-12
7,CNC-001,2023-06-23,Preventive,Spindle,4,922,Preventive maintenance on Spindle. Status: Completed.,2023-09-11
8,CNC-001,2023-06-23,Corrective,Servo Motor,8,4404,Corrective maintenance on Servo Motor. Status: Completed.,2023-09-02
92,OVEN-001,2023-07-01,Emergency,Fan Motor,24,6847,Emergency maintenance on Fan Motor. Status: Completed.,2023-11-12
79,CONVEYOR-001,2023-07-09,Corrective,Belt,5,1535,Corrective maintenance on Belt. Status: Completed.,2023-11-15
12,CNC-002,2023-07-12,Preventive,Ball Screw,4,782,Preventive maintenance on Ball Screw. Status: Completed.,2023-12-21
26,PRESS-001,2023-07-14,Preventive,Clutch/Brake,4,472,Preventive maintenance on Clutch/Brake. Status: Completed.,2023-11-03
3,CNC-001,2023-07-16,Preventive,Spindle,1,891,Preventive maintenance on Spindle. Status: Completed.,2023-11-05
44,PRESS-002,2023-07-17,Corrective,Die Assembly,8,1356,Corrective maintenance on Die Assembly. Status: Completed.,2024-01-11
85,OVEN-001,2023-07-19,Preventive,Thermostat,4,1172,Preventive maintenance on Thermostat. Status: Completed.,2023-10-21
73,CONVEYOR-001,2023-07-20,Preventive,Motor,3,643,Preventive maintenance on Motor. Status: Completed.,2023-09-28
37,PRESS-001,2023-07-23,Preventive,Hydraulic Pump,2,1195,Preventive maintenance on Hydraulic Pump. Status: Completed.,2023-10-26
87,OVEN-001,2023-07-28,Predictive,Fan Motor,2,402,Predictive maintenance on Fan Motor. Status: Completed.,2023-12-20
52,ROBOT-001,2023-07-31,Corrective,End Effector,4,4040,Corrective maintenance on End Effector. Status: Completed.,2023-11-02
49,ROBOT-001,2023-07-31,Predictive,Cables,3,876,Predictive maintenance on Cables. Status: Completed.,2023-10-25
63,ROBOT-002,2023-08-01,Corrective,End Effector,8,969,Corrective maintenance on End Effector. Status: Completed.,2023-11-03
39,PRESS-002,2023-08-02,Preventive,Cylinder Seals,2,226,Preventive maintenance on Cylinder Seals. Status: Completed.,2024-01-28
62,ROBOT-002,2023-08-07,Emergency,Joint Actuator,16,8541,Emergency maintenance on Joint Actuator. Status: Completed.,2023-10-23
69,ROBOT-002,2023-08-09,Preventive,Controller,4,379,Preventive maintenance on Controller. Status: Completed.,2024-02-03
47,ROBOT-001,2023-08-10,Preventive,Gripper,1,584,Preventive maintenance on Gripper. Status: Completed.,2023-10-25
58,ROBOT-002,2023-08-11,Preventive,Joint Actuator,3,1019,Preventive maintenance on Joint Actuator. Status: Completed.,2023-10-17
38,PRESS-002,2023-08-12,Preventive,Hydraulic Pump,3,1257,Preventive maintenance on Hydraulic Pump. Status: Completed.,2023-11-19
42,PRESS-002,2023-08-20,Preventive,Lubrication System,4,1327,Preventive maintenance on Lubrication System. Status: Completed.,2023-11-24
66,ROBOT-002,2023-08-21,Preventive,Cables,2,1146,Preventive maintenance on Cables. Status: Completed.,2023-11-12
25,PRESS-001,2023-08-30,Preventive,Cylinder Seals,4,949,Preventive maintenance on Cylinder Seals. Status: Completed.,2024-01-28
14,CNC-002,2023-08-30,Preventive,Servo Motor,2,398,Preventive maintenance on Servo Motor. Status: Completed.,2023-12-04
16,CNC-002,2023-09-04,Corrective,Servo Motor,8,3919,Corrective maintenance on Servo Motor. Status: Completed.,2024-02-24
61,ROBOT-002,2023-09-11,Predictive,Controller,1,857,Predictive maintenance on Controller. Status: Completed.,2024-02-27
80,CONVEYOR-001,2023-09-26,Preventive,Tensioner,3,950,Preventive maintenance on Tensioner. Status: Completed.,2024-02-04
21,CNC-002,2023-09-26,Preventive,Servo Motor,3,532,Preventive maintenance on Servo Motor. Status: Completed.,2024-01-29
56,ROBOT-002,2023-09-29,Predictive,Joint Actuator,2,822,Predictive maintenance on Joint Actuator. Status: Completed.,2024-01-28
